Schritt,Zustand,Zeit,Programmdauer,Schrittdauer,Zyklus,Zyklusebene,Prozedur,Prozedurebene,AhAkku,AhLad,AhEla,AhStep,Energie,WhStep,Spannung,Strom,Temp
4,PAU,22:43.6,1370191,1370068,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,22:53.6,1380179,1380056,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,23:03.7,1390195,1390072,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,23:13.7,1400200,1400077,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,23:23.7,1410192,1410069,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,23:33.6,1420172,1420049,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,23:43.6,1430175,1430052,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,23:53.7,1440196,1440073,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,24:03.6,1450164,1450041,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,24:13.6,1460192,1460069,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,24:23.6,1470155,1470032,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,24:33.6,1480168,1480045,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,24:43.6,1490175,1490052,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,24:53.6,1500184,1500061,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,25:03.6,1510186,1510063,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
